Gebyr, omsætning og deltager opgørelse pr. år (Daniel);;;;;;;;;;;;;;;;;;;;;;;;;;;
Genereret d. 11. jul. 2025 09.56.29;;;;;;;;;;;;;;;;;;;;;;;;;;;
Periode start;Arrangør;Vores gebyr;Medlemssystem gebyr;Event gebyr;Arrangør omsætning;Deltagere;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kom og Dans Danmark, kod-den-lukkede;4813;0;4813;98030;624;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Dante Sydvest, dante-sydvest;189;189;0;9525;2;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Svendborg Skolebio, svendborg-skolebio;985;259;726;10703;97;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kom og Dans Aarhus, kod-aarhus;7797;0;7797;163975;235;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Gedevasevang Aktivitetscenter, gedevasevang;0;0;0;0;2;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Anders Kobberup, akobberup;10;10;0;420;25;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Filmklubben Helsingør, filmklubbenhelsingor;46;46;0;855;3;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Idrættens Analyseinstitut, idan;0;0;0;0;99;;;;;;;;;;;;;;;;;;;;;
2025.01.01;SOSU Esbjerg, sosuesbjerg;117;0;117;0;13;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Folkehuset Kvaglund, folkehusetkvaglund;2021;0;2021;55375;525;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Vejle Skolebio, vejleskolebio;0;0;0;0;2;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Danmarks Restauranter & Cafeer (DRC), thehost;0;0;0;0;106;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Grenaa Amatørteater, grenaa-amatoerteater;7914;0;7914;141900;517;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Det Italienske Kulturinstitut, iiccopenaghen;3632;0;3632;81560;2363;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Hønseringen, hoenseringen;46;46;0;855;3;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Scandic CPH Strandpark, scandiccphstrandpark;0;0;0;0;6;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Gjesing Kirke, gjesingkirke;0;0;0;0;1336;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Birkerød Filmklub for Børn og Unge, birkeroedfilmk;0;0;0;0;202;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kom og Dans Holstebro, kod-holstebro;3571;0;3571;64850;186;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Scandic Glostrup, scandicglostrup;1151;0;1151;22575;87;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Skanderborg Festivalklub, skanderborgfestivalklub;0;0;0;0;4;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Aarhus Børnehøjskole, aarhusboernehoejskole;3055;0;3055;62375;103;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Holm kommunikation, holmkommunikation;0;0;0;0;214;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Børnenes Filmklub Rønne, boernenes-filmklub-roenne;36;36;0;310;5;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Sorgenfri Kirke, sorgenfrikirkedk;4749;0;4749;86350;472;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Frøslev Efterskole, fle-skole;3267;0;3267;30670;653;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kom og Dans Esbjerg, kod-esbjerg;1515;0;1515;29600;67;;;;;;;;;;;;;;;;;;;;;
2024.01.01;SuperBrugsen Lystrup, sblystrup;1017;0;1017;450;113;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Svendborg Buejægere 2022, svendborgbuejaegere;630;0;630;12150;27;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Kom og Dans Odense, kod-odense;5769;0;5769;110000;261;;;;;;;;;;;;;;;;;;;;;
2024.01.01;UdeskoleNet, udeskolenet;1385;602;783;24835;88;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Prodrive, prodrive-koreskole;28;0;28;700;132;;;;;;;;;;;;;;;;;;;;;
2024.01.01;S-Huset, pf;66617;0;66617;573909;6644;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Kom og Dans Herning, kod-herning;6415;0;6415;118050;310;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Aabenraa Børne- og Ungdomsfilmklub, aabuf;3250;3250;0;48018;344;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Danske Børne- og Ungdomsfilmklubber, dabuf;3198;0;3198;177000;131;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Kom og Dans Silkeborg, kod-silkeborg;7671;0;7671;135150;406;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Ørsted, orsted;2112;0;2112;297200;1303;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Vin & Co. Middelfart ApS, vincomiddelfartaps;2378;0;2378;123065;269;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Filmklubben Helsingør, filmklubbenhelsingor;11284;11284;0;208335;742;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Dølle, doelle;16;0;16;222250;131;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Akademisk Kor Århus, akademisk-kor-aarhus;1108;0;1108;7600;152;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Anders Kobberup, akobberup;282;37;245;312;68;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Svendborg Skolebio, svendborg-skolebio;25684;23625;2059;319486;2460;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Slettes, slettes-grundtvigskirken;42;0;42;200;4;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Danmarks Gymnastik Forbund, gymdanmark;12389;0;12389;225075;1809;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Kulturteamet i Wonderful Copenhagen, kultur;0;0;0;0;176;;;;;;;;;;;;;;;;;;;;;
2024.01.01;St. Jørgen Holding, stjoergenholding;198;0;198;0;22;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Egmont Højskolen, egmonthoejskolen;4516;0;4516;83257;278;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Gladsaxe Børnefilmklub, gladfilm;9800;9800;0;103065;1029;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Floradania, floradania;0;0;0;0;2308;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Korsør Filmklub, korsoerfilmklub;2218;2218;0;25424;234;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Scandic Copenhagen, scandiccopenhagen;529;0;529;15725;554;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Steen Schapiro, steenschapiro;348;0;348;8350;3;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Filosofilærerforeningen for Gymnasium og HF, filos;1607;615;992;38100;35;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Kom og Dans Haderslev, kod-haderslev;2388;0;2388;48800;85;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Park Bio, Filmklubben Oluf, parkbio;1044;0;1044;17820;132;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Wonderful Copenhagen, wonderful-copenhagen;0;0;0;0;62;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Han Herred Efterskole, hhe;0;0;0;0;648;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Autohuset Vestergaard, autohusetvestergaard;2631;0;2631;14551;496;;;;;;;;;;;;;;;;;;;;;
2024.01.01;DUF – Dansk Ungdoms Fællesråd, duf;15506;0;15506;357100;1878;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Loppemarked i Bella, bc-loppemarked;1068;0;1068;1816675;1621;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Slettes-Eventyrklubben, slettes-eventyrklubben;345;345;0;0;10;;;;;;;;;;;;;;;;;;;;;
2024.01.01;WondAros, wondaroschorus;2766;0;2766;23150;306;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Dante Alighieri Aarhus, dante-alighieri-aarhus;13347;2071;11276;275245;850;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Dagrofa Foodservice, dagrofa;0;0;0;0;236;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Naturstyrelsen Blåvandshuk, nst-blaavandshuk;5394;0;5394;155235;765;;;;;;;;;;;;;;;;;;;;;
2024.01.01;VEJEN DANSEFORENING, vejendanseforening-1m;1102;0;1102;9950;142;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Kom og Dans Aalborg, kod-aalborg;8091;0;8091;162400;289;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Århus Skolebio, skolebio;51606;0;51606;687960;9922;;;;;;;;;;;;;;;;;;;;;
2024.01.01;event IT, eventit;0;0;0;0;16;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Kom og Dans Danmark, komogdans;0;0;0;0;7083;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Handy på 1 dag, handypaa1dag;262;0;262;5400;9;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Tinget, slagmarkfyn;2201;0;2201;43975;81;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Kom og Dans Aarhus Ungdom, kod-aarhus-ungdom;6488;0;6488;125925;271;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Børnefilmklubben Tusindfryd, tusindfrydfilm;16016;16016;0;215252;1302;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Aarhus Børnehøjskole, aarhusboernehoejskole;6406;0;6406;128050;230;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Frøslev Efterskole, fle-skole;3325;0;3325;31510;439;;;;;;;;;;;;;;;;;;;;;
2024.01.01;RaceClub - Oktoberfestival, oktoberfestival;1084;0;1084;24750;172;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Dante Alighieri Odense, dante-odense;3085;533;2552;46650;273;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Spejdercentret Thorup Hede, thoruphede;12627;0;12627;224125;844;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Glostrup Filmklub For Børn og Unge, glostrupfilmkl;3272;3272;0;34322;356;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Scandic Sydhavnen, scandicsydhavnen;0;0;0;0;75;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Oplevelser knytter bånd, Skjern, oplevelserknytter;5466;0;5466;102106;306;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Lemvig Børne- og Ungdomsfilmklub, lemvig-boerne-og;4762;4762;0;52530;469;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Scandic Ringsted, scandicringsted;421;0;421;11160;79;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Danmarks Jægerforbund Kreds 5 Fyn, dj-kreds5;1641;0;1641;33765;55;;;;;;;;;;;;;;;;;;;;;
2024.01.01;DJ Kreds 4, dj-kreds4;648;0;648;7750;62;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Svendborg Jagtforening, jagt;9233;0;9233;190350;299;;;;;;;;;;;;;;;;;;;;;
2024.01.01;SG , sg;9;0;9;0;1;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Løvenholm Gods, lovenholm;5212;0;5212;126050;39;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Kom og Dans Grenaa, kod-grenaa;3265;0;3265;64525;133;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Danske Ølentusiaster, aledk;134795;0;134795;2792983;9976;;;;;;;;;;;;;;;;;;;;;
2024.01.01;JH Events, jhevents;19068;0;19068;435400;4174;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Dante Sydvest, dante-sydvest;547;547;0;12662;15;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Danmarks Bridgeforbund, dbf;74058;0;74058;1529550;2912;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Serritslev Jagtforening, serritslevjagtforening;42;0;42;200;4;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Vejen GF, gymdanmark-vejengymnastik;10789;0;10789;194595;1809;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Kom og Dans Viborg, kod-viborg;4765;0;4765;83900;241;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Mortensens Mad, mortensensmad;0;0;0;0;71;;;;;;;;;;;;;;;;;;;;;
2024.01.01;DDD-Medlemsforeninger, ddd-medlemsforeninger;20472;20472;0;678028;388;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Kom og Dans Sæby, kod-saeby;4567;0;4567;91650;174;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Folkehuset Kvaglund, folkehusetkvaglund;1573;0;1573;38455;487;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Ribe Jagtforening, ribejagtforening;154;0;154;2700;9;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Dancecamps & Nordic Ball, stokkebroe;27478;0;27478;1253109;762;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Wakeup Copenhagen, wakeupcopenhagen;0;0;0;0;9;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Randers gymnastiske Forening, gymdanmark-rgf;14438;0;14438;387555;3218;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Jette Steen, scandichotels-cmt;0;0;0;0;147;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Randers gymnastiske Forening, rgf;6896;0;6896;75500;1922;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Rikke, rikke;12;12;0;0;12;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Dante Alighieri Sydøst, dante-sydost;1098;990;108;22764;67;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Herning Skolebio, herningskolebio;25972;0;25972;357450;4551;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Support Mombasa, support-mombasa;396;396;0;13520;14;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Play the Game, playthegame;12429;0;12429;373217;164;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Jagt-jakt.dk, jagt-jaktdk;213;0;213;2400;18;;;;;;;;;;;;;;;;;;;;;
2024.01.01;iHanstholm, ihanstholm;324;0;324;2825;43;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Naturstyrelsen Fiskekort, nst-fiskekort;9263;0;9263;222500;322;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Brøndbyernes IF, brondbyernesif;6610;6187;423;82729;369;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Løkken Idrætscenter, loekkenidraetscenter;2240;0;2240;38390;130;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Hønseringen, hoenseringen;11211;11211;0;206632;768;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Aarhus Vocal Festival, aavf;9704;0;9704;1032240;3602;;;;;;;;;;;;;;;;;;;;;
2024.01.01;By Ulle, byulle;542;0;542;7450;50;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Danmarks Provsteforening, provsteforeningen;7094;0;7094;144000;170;;;;;;;;;;;;;;;;;;;;;
2024.01.01;RU Hospitality, royalunibrew;0;0;0;0;11094;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Footwerk Dance Studio, footwerk;6293;6293;0;113303;237;;;;;;;;;;;;;;;;;;;;;
2024.01.01;InstallatørPartner, inp;655;0;655;13187;82;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Aarhus Kommune, MTM Personaleforening, aarhuskommu;2982;0;2982;39360;246;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Aktiv i Forening 4160, aif4160;2702;0;2702;16620;282;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Nordisk Dyrepark, nordiskdyrepark;2737;0;2737;39000;260;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Herlev Skolebio, herlevskolebio;4979;4979;0;53056;554;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Dance Beat Studios, dbs;4605;4605;0;82508;73;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Copenhagen Marriott Hotel, copenhagenmarriotthotel;0;0;0;0;258;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Nyborg børne og ungdomsfilmklub, nyborg-boerne-og-;7336;7336;0;77592;834;;;;;;;;;;;;;;;;;;;;;
2024.01.01;ErhvervsForum Holstebro, erhvervsforumholstebro;27315;0;27315;587744;2931;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Brørup Børnefilmklub, broerup-boernefilmklub;4022;0;4022;55650;742;;;;;;;;;;;;;;;;;;;;;
2024.01.01;DJ Kreds 2, dj-kreds2;1088;0;1088;15750;137;;;;;;;;;;;;;;;;;;;;;
2024.01.01;O-K-S-Y, o-k-s-y;36;0;36;0;4;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Danmarks Jægerforbund, dj-aktiviteter;44924;0;44924;726150;4027;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Det Barnemad, detbarnemad;72;0;72;0;8;;;;;;;;;;;;;;;;;;;;;
2024.01.01;OdLPersonaleklub, odlpersonaleklub;11;0;11;100;54;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Kjellerupegnens Filmklub, kjellerupegnensfilmklub;2068;1524;544;18800;219;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Linå/Sejs-Svejbæk, sejs-svejbaek-kirke;1000;0;1000;15065;87;;;;;;;;;;;;;;;;;;;;;
2024.01.01;GD, gd;1248;0;1248;22000;75;;;;;;;;;;;;;;;;;;;;;
2024.01.01;FDF Gl. Rye, fdfglrye;1288;0;1288;24100;64;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Ovartaci, ovartaci;9760;4371;5388;106770;742;;;;;;;;;;;;;;;;;;;;;
2024.01.01;ROUTE CPH, routecph;9;0;9;0;1;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Svendborg Gymnastikforening, gymdanmark-svendborgg;9481;0;9481;248030;1904;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Ellevang Kirke, ellevang;9910;0;9910;120400;1007;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Planet Copenhagen, sustainability;0;0;0;0;142;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Højskolen Mors' Elevforening, hoejskolenmorselevfo;2032;0;2032;27270;160;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Kom og Dans Esbjerg, kod-esbjerg;4297;0;4297;84600;187;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Daarbak Group, eventkonsulenten;1341;0;1341;0;149;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Springteam Sæby, gymdanmark-teamgymsaeby;9907;0;9907;185025;1709;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Kom og Dans Randers, kod-randers;6019;0;6019;114800;280;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Lægedage 2024, laegedage;0;0;0;0;118;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Odontologisk Forening, odontologiskforening;13975;0;13975;198165;1218;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Svømmeklubben SMUT, svoemmeklubben-smut;8268;7774;493;141556;320;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Øgadehuset, oegadehuset;97;0;97;1130;10;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Kom og dans Svendborg, kod-svendborg;4083;0;4083;79075;175;;;;;;;;;;;;;;;;;;;;;
2024.01.01;De Danske Danseskoler, ddd;333731;20300;313431;4089542;31377;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Dansk Generationsskifte, danskgenerationsskifte;828;0;828;0;92;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Vin & Petanque, vin-petanque;470;0;470;8170;30;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Idrættens Analyseinstitut, idan;0;0;0;0;9;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Rock på Heden - Herning og Holstebro, rock-paa-hed;9516;0;9516;212650;219;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Elevforeningen IHÅ, elevforeningenihaa;8396;0;8396;117880;714;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Gjellerup Sdr., gymdanmark-herning;11614;0;11614;277520;2090;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Wonderful Copenhagen, wocoevents;0;0;0;0;1136;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Scandic Glostrup, scandicglostrup;568;0;568;25875;71;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Danmarks Jægerforbund Kreds 7, dj-kreds7;5355;0;5355;88275;375;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Copenhagen Bike Show, copenhagenbikeshow;19332;0;19332;342542;2891;;;;;;;;;;;;;;;;;;;;;
2024.01.01;CLASHcph, clashcph;1380;0;1380;13300;156;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Husets Børnefilmklub, husets-boernefilmklub;2230;2230;0;26760;223;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Italien Information Service AS, iis;48456;0;48456;2849435;259;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Ekspres Bank, ekspresbank;9;0;9;0;380;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Meetingplace, meetingplace;0;0;0;0;282;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Event.it - gustav, eventit-gustav;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Fishing Zealand, fishingzealand;1101;0;1101;7530;149;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Veteranposten, veteranposten;24083;0;24083;247500;2475;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Sæby Scenen, saeby-scenen;5579;0;5579;90475;442;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Studenterhus Aarhus, studenterhusaarhus;49278;27407;21871;532370;7908;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Mandecentret , mandecentret;90;0;90;0;10;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Børnenes Filmklub Rønne, boernenes-filmklub-roenne;4400;4400;0;63580;462;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Kom og Dans Danmark, kod-den-lukkede;5097;0;5097;105186;964;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Nibe BørneogUngdomsFilmklub, nibeboerneogungdomsfi;3900;3900;0;43680;435;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Virksund Kursuscenter, virksund;14331;0;14331;312895;365;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Scandic Hvidovre, scandichvidovre;1117;0;1117;16700;113;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Teologi for voksne, teologiforvoksne;7879;0;7879;118940;641;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Nationalpark Vadehavet, nationalparkvadehavet;365;0;365;2550;38;;;;;;;;;;;;;;;;;;;;;
2024.01.01;BarbAros, barbaros;3341;0;3341;34900;394;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Højskolen på Sicilien, hoejskolen-paa-sicilien;26503;0;26503;1457970;119;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Race Club by Møller Madsen, raceclub;0;0;0;0;162;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Rårup Sognegård, raarupsognegaard;889;0;889;15925;49;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Wines & co, winesnco;452;0;452;7363;37;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Biffen Odder, biffen-odder;14674;2997;11677;217880;1118;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Test A/S, testas;297;0;297;0;33;;;;;;;;;;;;;;;;;;;;;
2024.01.01;DJ Kreds 1, dj-kreds1;1169;0;1169;5825;111;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Birkerød Filmklub for Børn og Unge, birkeroedfilmk;10710;10710;0;127124;1310;;;;;;;;;;;;;;;;;;;;;
2024.01.01;royalunibrew-inhouse, royalunibrew-inhouse;0;0;0;0;256;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Ribe Domkirke, ribe-domkirke;1408;0;1408;13040;516;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Kom og Dans Varde, kod-varde;1270;0;1270;25785;48;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Esbjerg Skolebio, esbjergskolebio;13224;0;13224;201600;2032;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Charity for Cancer, charityfocancer;20;0;20;775;90;;;;;;;;;;;;;;;;;;;;;
2024.01.01;gnisten-musikværketry, gnisten-musikvaerketry;37454;4595;32859;561941;3072;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Boligkontoret Århus, boligkontoretaarhus;9;0;9;0;1;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Kom og Dans Hobro, kod-hobro;3385;0;3385;68740;121;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Aarhus Symfoniorkesters Venner, asov;3296;3296;0;61800;362;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Copenhagen Institute for Futures Studies, cifs;18294;2007;16286;1164534;131;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Kom og Dans Roskilde , kod-roskilde;2465;0;2465;46975;113;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Lystrup Svømning, lifsvoem;203223;176046;27177;4236942;4287;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Scandic Aarhus City, scandicaarhuscity;1702;0;1702;40495;127;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Support Office, supportoffice;0;0;0;0;981;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Sorgenfri Kirke, sorgenfrikirkedk;9285;628;8657;136800;935;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Danske Ølentusiaster, ale;4250;0;4250;55250;452;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Sørensen Læder A/S, soerensenlaeder;981;0;981;0;109;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Birkkjær, birkkjaer;1485;0;1485;29730;70;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Farum Gymnastikforening, gymdanmark-farumgymnastik;27031;0;27031;445825;4383;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Scandic Hotels, scandichotels;0;0;0;0;217;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Brønderslev Jagtforening, broenderslevjagtforening;225;0;225;3820;11;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Group Bornholm ApS, strikbornholm;8075;0;8075;214415;539;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Århus Børnefilm, aarhusboernefilm;6516;6516;0;72400;731;;;;;;;;;;;;;;;;;;;;;
2024.01.01;GIF-Gymnastik Gladsaxe, gymdanmark-gifgymnastik;18829;0;18829;352295;3185;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Scandic Sluseholmen, scandicsluseholmen;7278;0;7278;311466;1042;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Julefrokost Y 2024 , julefrokosty2024;18;0;18;0;2;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Hjørring Inner Wheel Klub, hjoerringinnerwheelklub;1388;0;1388;25200;72;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Siff Connect, siffconnect;118;0;118;2250;5;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Køkken Koncert, koekken-koncert;853;0;853;14475;63;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Odsherreds Børne- og Ungdomsfilmklub, odsherredsbo;1060;1060;0;10428;106;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Tisvilde Jazz Club, tisvildejazzclub;7536;578;6958;155110;310;;;;;;;;;;;;;;;;;;;;;
2024.01.01;Gjesing Kirke, gjesingkirke;2307;0;2307;17050;2720;;;;;;;;;;;;;;;;;;;;;
