Gebyr, omsætning og deltager opgørelse pr. år (Daniel);;;;;;;;;;;;;;;;;;;;;;;;;;;
Genereret d. 11. jul. 2025 09.56.29;;;;;;;;;;;;;;;;;;;;;;;;;;;
Periode start;Arrangør;Vores gebyr;Medlemssystem gebyr;Event gebyr;Arrangør omsætning;Deltagere;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Personaleforeningen Holstebro Kommune, personalefo;0;0;0;162169;849;;;;;;;;;;;;;;;;;;;;;
2025.01.01;gnisten-musikværketry, gnisten-musikvaerketry;12704;2634;10070;201022;882;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Bryllup.dk, bryllupdk;0;0;0;0;2;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Thy Erhvervsforum, thyerhvervsforum;0;0;0;0;12;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Wakeup Copenhagen, wakeupcopenhagen;0;0;0;0;4;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Aarhus Symfoniorkesters Venner, asov;1097;1097;0;19850;69;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Scandic Sluseholmen, scandicsluseholmen;1846;0;1846;52055;131;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Medie Raketten, medieraketten;427;0;427;6290;37;;;;;;;;;;;;;;;;;;;;;
2025.01.01;TIMEINVEST FONDSMAEGLERSELSKAB A/S, timeinvestfond;792;792;0;0;88;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Nordisk Dyrepark, nordiskdyrepark;487;0;487;7480;40;;;;;;;;;;;;;;;;;;;;;
2025.01.01;DJ Kreds 1, dj-kreds1;9;0;9;75;6;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Cruise Denmark – Copenhagen and beyond, cruisedenm;3982;3982;0;76128;155;;;;;;;;;;;;;;;;;;;;;
2025.01.01;RU Hospitality, royalunibrew;0;0;0;0;7783;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Support Office, supportoffice;0;0;0;0;671;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kom og Dans Thisted, kod-thisted;1478;0;1478;29800;53;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Thomas privat, thomasprivat;279;279;0;0;33;;;;;;;;;;;;;;;;;;;;;
2025.01.01;De Danske Danseskoler, ddd;256894;6716;250178;3210779;24428;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Børnebif Vordingborg, boernebif-vordingborg;10;10;0;150;1;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Løvenholm Gods, lovenholm;5360;0;5360;130100;34;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Jagt-jakt.dk, jagt-jaktdk;228;0;228;3150;18;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Esbjerg Park, esbjergpark;4532;0;4532;124843;438;;;;;;;;;;;;;;;;;;;;;
2025.01.01;AlmenKompas, almenkompas;0;0;0;0;122;;;;;;;;;;;;;;;;;;;;;
2025.01.01;TUBA, tuba;3478;0;3478;67375;147;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Filmklubben Humlebien, filmklubben-humlebien;1237;0;1237;7140;202;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Brøndbyernes IF, brondbyernesif;3582;3582;0;48158;74;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Dansk Solcelleforening, solcelleforening;538;538;0;5148;177;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Copenhagen Strand, copenhagenstrand;0;0;0;0;14;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Virksund Kursuscenter, virksund;9972;0;9972;244585;295;;;;;;;;;;;;;;;;;;;;;
2025.01.01;DRØMMECIRKLER, droemmecirkler;656;0;656;15050;11;;;;;;;;;;;;;;;;;;;;;
2025.01.01;ErhvervsForum Holstebro, erhvervsforumholstebro;14030;0;14030;311762;1232;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Danske Destinationer, wwwdanskedestinationer;269;0;269;5445;45;;;;;;;;;;;;;;;;;;;;;
2025.01.01;MeetDenmark, meetdenmark;0;0;0;0;79;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Filmklubben BUF, buf;92;92;0;1710;6;;;;;;;;;;;;;;;;;;;;;
2025.01.01;BarbAros, barbaros;720;0;720;8300;76;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Danseparaplyen Aarhus, danseparaplyen;360;360;0;6000;30;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Dancecamps & Nordic Ball, stokkebroe;24574;1550;23024;1053632;862;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Glostrup Filmklub For Børn og Unge, glostrupfilmkl;9;9;0;0;1;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Horsens Skolebio, horsensskolebio;61;0;61;750;44;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Scandic Ringsted, scandicringsted;0;0;0;0;15;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Naturstyrelsen Fiskekort, nst-fiskekort;2613;0;2613;97000;175;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Bellagroup, bc;12;0;12;1750;225;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Growing Trees Network, growingtrees;0;0;0;0;255;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Zions Kirke, zionskirke;0;0;0;0;4;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Balletforening danmark, balletforening;0;0;0;0;3;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kom og Dans Danmark, komogdans;0;0;0;0;3110;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Autohuset Vestergaard, autohusetvestergaard;1846;0;1846;14550;595;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Højskolen Mors' Elevforening, hoejskolenmorselevfo;1045;0;1045;16925;69;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Brahetrolleborg Game Fair , brahetrolleborggamefai;10701;0;10701;176685;884;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Cph Travel Lab, cphtravellab;0;0;0;0;19;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Danmarks Gymnastik Forbund, gymdanmark;21106;0;21106;234870;1725;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Ellevang Kirke, ellevang;3534;0;3534;51070;351;;;;;;;;;;;;;;;;;;;;;
2025.01.01;GIF-Gymnastik Gladsaxe, gymdanmark-gifgymnastik;49164;0;49164;505450;4454;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kom og Dans Herning, kod-herning;2468;0;2468;46780;110;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Park Bio, Filmklubben Oluf, parkbio;43;0;43;675;6;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Odontologisk Forening, odontologiskforening;3261;0;3261;20860;404;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Jules - Dedicated To dance, dedicatedtodance;5731;5731;0;116068;82;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Prodrive, prodrive-koreskole;0;0;0;0;70;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Daarbak Group, eventkonsulenten;1395;0;1395;0;155;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Ribe Domkirke, ribe-domkirke;725;0;725;6725;173;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kom og Dans Viborg, kod-viborg;2329;0;2329;40600;121;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Danseklubben Møn, danseklubben-moen;1603;1603;0;31506;114;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Copenhagen Institute for Futures Studies, cifs;5064;4764;300;259639;186;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Randers gymnastiske Forening, rgf;8810;0;8810;87100;2179;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Foreningen Faaborg Museums Venner, faaborgmuseum;4222;4222;0;71380;147;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kom og Dans Aars, kod-aars;1516;0;1516;29875;65;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Event IT ApS, eventitaps;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Treenighedskirken, treenighedskirken;4882;0;4882;66990;530;;;;;;;;;;;;;;;;;;;;;
2025.01.01;TUSKÆR, tuskaer;2010;0;2010;42225;118;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Ejendomsselskabet Olav de Linde A/S, olavdelinde;0;0;0;0;611;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kim Due ApS, kim-due;0;0;0;0;56;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Danske Børne- og Ungdomsfilmklubber, dabuf;3039;0;3039;191650;85;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kom og Dans Ribe, kod-ribe;2357;0;2357;47225;96;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Personaleforeningen VIA University College Aarhus,;18;18;0;0;0;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Århus Skolebio, skolebio;42;0;42;560;11;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Elevforeningen IHÅ, elevforeningenihaa;14743;0;14743;191620;1732;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Børnefilmklubben Popcorner, popcorner;0;0;0;245;1;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Linå/Sejs-Svejbæk, sejs-svejbaek-kirke;763;0;763;11800;61;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Kom og Dans Horsens, kod-horsens;1880;0;1880;36950;84;;;;;;;;;;;;;;;;;;;;;
2025.01.01;CSM- Syd - Frivilligsektion, csm-syd-frivilligsekt;900;900;0;0;100;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Løkken Idrætscenter, loekkenidraetscenter;1804;0;1804;31610;107;;;;;;;;;;;;;;;;;;;;;
2025.01.01;SAS, sas;0;0;0;0;381;;;;;;;;;;;;;;;;;;;;;
2025.01.01;GD, gd;1184;0;1184;21750;57;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Filosofilærerforeningen for Gymnasium og HF, filos;16;16;0;300;1;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Hørkram Foodservice A/S, horkram;0;0;0;0;3581;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Hummelbien, hummelbien;18;18;0;0;2;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Castberggård, castberggaard;0;0;0;592655;496;;;;;;;;;;;;;;;;;;;;;
2025.01.01;Italien Information Service AS, iis;20742;0;20742;1252425;104;;;;;;;;;;;;;;;;;;;;;
2025.01.01;praQtice, praqtice;550;550;0;234957;60;;;;;;;;;;;;;;;;;;;;;
2025.01.01;CIFF - Copenhagen International Fashion Fair, ciff;0;0;0;0;1008;;;;;;;;;;;;;;;;;;;;;
